Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
23,female,1,rent,moderate,moderate,841,12,business,good
25,female,2,own,little,NA,5771,30,radio/TV,good
55,male,2,free,rich,NA,1555,12,repairs,bad
32,female,2,rent,NA,little,1285,24,car,bad
74,male,0,own,little,rich,1299,6,car,good
39,male,2,free,NA,rich,1271,15,radio/TV,bad
31,male,2,own,little,NA,1393,24,car,good
35,male,2,own,little,little,691,12,car,bad
59,female,2,own,NA,NA,5045,15,car,good
24,female,2,rent,little,little,2124,18,furniture/equipment,bad
24,male,1,own,little,little,2214,12,radio/TV,good
30,male,3,free,NA,NA,12680,21,car,bad
27,male,2,own,moderate,NA,2463,24,car,good
40,male,1,own,little,moderate,1155,12,radio/TV,good
31,male,1,own,little,little,3108,30,furniture/equipment,bad
31,female,2,rent,NA,NA,2901,10,car,good
28,male,2,rent,little,moderate,3617,12,furniture/equipment,good
63,male,1,own,little,NA,1655,12,radio/TV,good
26,female,2,rent,NA,little,2812,24,car,good
25,female,3,own,little,little,8065,36,education,bad
36,male,3,own,little,NA,3275,21,car,good
52,male,2,own,moderate,NA,2223,24,radio/TV,good
66,male,0,free,quite rich,rich,1480,12,car,good
25,female,2,rent,NA,little,1371,24,car,bad
37,male,2,own,little,NA,3535,36,car,good
25,female,2,own,little,little,3509,18,radio/TV,good
38,male,3,own,rich,NA,5711,36,car,good
67,female,2,own,little,moderate,3872,18,repairs,good
25,male,2,own,little,moderate,4933,39,radio/TV,bad
60,male,2,own,rich,NA,1940,24,car,good
31,male,1,own,little,moderate,1410,12,education,good
23,female,1,own,moderate,moderate,836,12,car,bad
60,male,3,own,NA,moderate,6468,20,car,good
35,male,1,own,rich,moderate,1941,18,business,good
40,male,2,own,quite rich,NA,2675,22,radio/TV,good
38,male,2,own,NA,NA,2751,48,car,good
50,male,2,free,little,moderate,6224,48,education,bad
27,male,2,own,little,little,5998,40,education,bad
39,female,2,own,little,moderate,1188,21,business,bad
41,male,3,own,NA,NA,6313,24,car,good
27,male,2,own,NA,NA,1221,6,furniture/equipment,good
51,male,2,free,little,rich,2892,24,furniture/equipment,good
32,male,2,rent,quite rich,NA,3062,24,furniture/equipment,good
22,female,2,rent,moderate,NA,2301,9,furniture/equipment,good
51,male,2,free,NA,little,7511,18,car,bad
22,female,1,rent,little,NA,1258,12,furniture/equipment,good
54,male,2,own,NA,NA,717,24,car,good
35,male,0,own,NA,moderate,1549,9,car,good
54,male,2,free,little,NA,1597,24,education,good
48,female,1,rent,little,moderate,1795,18,radio/TV,good
24,female,2,own,little,little,4272,20,furniture/equipment,good
35,male,2,own,NA,NA,976,12,radio/TV,good
24,female,0,rent,NA,moderate,7472,12,car,good
24,male,2,own,little,little,9271,36,car,bad
26,male,1,own,little,moderate,590,6,radio/TV,good
65,male,2,own,NA,NA,930,12,radio/TV,good
55,male,3,free,little,moderate,9283,42,car,good
26,female,0,rent,little,moderate,1778,15,car,bad
26,male,2,own,little,moderate,907,8,business,good
28,male,1,own,little,moderate,484,6,radio/TV,good
24,male,2,own,little,little,9629,36,car,bad
54,male,2,own,little,little,3051,48,domestic appliances,bad
46,male,2,free,little,little,3931,48,car,bad
54,female,2,rent,little,moderate,7432,36,car,good
62,male,2,own,quite rich,NA,1338,6,domestic appliances,good
24,female,2,rent,little,NA,1554,6,radio/TV,good
43,male,3,own,little,little,15857,36,vacation/others,good
26,male,2,own,little,little,1345,18,radio/TV,bad
27,male,2,own,little,NA,1101,12,car,good
24,male,2,own,little,rich,3016,12,radio/TV,good
41,male,2,own,little,little,2712,36,furniture/equipment,bad
47,male,1,own,little,little,731,8,car,good
35,male,3,own,little,NA,3780,18,furniture/equipment,good
30,male,2,own,little,little,1602,21,car,good
33,female,2,rent,little,little,3966,18,car,bad
36,male,2,own,little,NA,4165,18,business,bad
47,male,2,free,NA,little,8335,36,car,bad
38,male,2,free,NA,moderate,6681,48,business,good
44,male,2,own,quite rich,NA,2375,24,business,good
23,female,2,rent,little,little,1216,18,car,bad
29,male,2,rent,little,little,11816,45,business,bad
42,female,2,own,NA,moderate,5084,24,radio/TV,good
25,female,1,own,little,rich,2327,15,radio/TV,bad
48,male,2,own,little,little,1082,12,car,bad
21,female,2,own,NA,NA,886,12,radio/TV,good
23,female,1,rent,little,NA,601,4,furniture/equipment,good
63,male,2,own,little,little,2957,24,car,good
46,male,2,own,little,NA,2611,24,radio/TV,good
29,male,2,own,little,little,5179,36,furniture/equipment,bad
28,male,1,own,little,NA,2993,21,car,good
23,female,2,own,little,NA,1943,18,repairs,bad
50,male,2,own,little,NA,1559,24,business,good
47,male,2,own,little,NA,3422,18,furniture/equipment,good
35,male,2,own,NA,moderate,3976,21,furniture/equipment,good
68,male,2,rent,NA,NA,6761,18,car,bad
28,male,2,own,little,NA,1249,24,car,good
59,male,2,own,little,little,1364,9,radio/TV,good
57,male,1,own,little,little,709,12,radio/TV,bad
33,male,2,rent,little,little,2235,20,car,bad
43,male,2,own,NA,NA,4042,24,car,good
35,male,2,free,little,NA,1471,15,radio/TV,good
32,male,1,free,little,little,1442,18,car,bad
45,male,2,own,little,NA,10875,36,car,good
33,male,2,own,moderate,NA,1474,24,car,good
40,female,2,own,NA,NA,894,10,education,good
28,male,2,free,little,NA,3343,15,furniture/equipment,good
29,female,2,own,little,little,3959,15,car,bad
26,male,2,rent,moderate,NA,3577,9,car,good
27,male,2,own,rich,NA,5804,24,car,good
28,male,2,own,little,NA,2169,18,business,bad
35,female,2,own,little,little,2439,24,radio/TV,bad
32,male,1,own,rich,NA,4526,27,furniture/equipment,good
25,male,1,rent,little,NA,2210,10,furniture/equipment,bad
20,female,2,rent,quite rich,NA,2221,15,furniture/equipment,good
27,female,2,own,little,little,2389,18,radio/TV,good
42,male,2,own,little,NA,3331,12,furniture/equipment,good
37,male,2,own,NA,NA,7409,36,business,good
24,female,2,rent,little,little,652,12,furniture/equipment,good
40,female,2,own,quite rich,NA,7678,36,furniture/equipment,good
46,male,2,own,little,rich,1343,6,car,good
26,male,2,own,moderate,little,1382,24,business,good
24,female,2,own,NA,NA,874,15,domestic appliances,good
29,male,1,own,little,little,3590,12,furniture/equipment,good
40,female,2,own,rich,moderate,1322,11,car,good
36,male,3,free,little,little,1940,18,radio/TV,good
28,male,2,own,little,NA,3595,36,radio/TV,good
27,male,3,free,little,little,1422,9,car,bad
36,male,2,own,NA,NA,6742,30,radio/TV,good
38,male,3,own,little,NA,7814,24,car,good
48,male,2,free,NA,NA,9277,24,car,good
36,male,2,own,NA,moderate,2181,30,car,good
65,female,0,own,little,NA,1098,18,radio/TV,good
43,male,2,own,little,moderate,4057,24,furniture/equipment,bad
53,female,2,own,little,little,795,12,education,bad
34,male,2,own,NA,moderate,2825,24,business,good
23,male,2,own,little,moderate,15672,48,business,bad
34,male,3,own,little,NA,6614,36,car,good
40,male,2,rent,NA,NA,7824,28,car,good
43,male,3,own,little,little,2442,27,business,good
46,male,2,own,little,NA,1829,15,radio/TV,good
38,male,1,own,little,little,2171,12,car,good
34,male,2,own,little,moderate,5800,36,car,good
29,male,2,own,NA,NA,1169,18,radio/TV,good
31,male,3,own,NA,NA,8947,36,car,good
28,female,3,rent,little,little,2606,21,radio/TV,good
35,female,2,own,rich,NA,1592,12,furniture/equipment,good
33,female,1,rent,NA,NA,2186,15,furniture/equipment,good
42,male,2,own,little,little,4153,18,furniture/equipment,bad
43,male,2,rent,little,little,2625,16,car,bad
44,male,2,own,NA,NA,3485,20,car,good
42,male,2,free,NA,NA,10477,36,car,good
40,male,2,rent,NA,NA,1386,15,radio/TV,good
36,male,3,own,little,NA,1278,24,radio/TV,good
20,male,3,rent,little,little,1107,12,radio/TV,good
24,male,1,own,NA,little,3763,21,car,good
27,male,2,own,NA,moderate,3711,36,education,good
46,female,1,own,little,NA,3594,15,car,good
33,female,1,own,NA,moderate,3195,9,car,good
34,female,2,own,little,NA,4454,36,radio/TV,good
25,female,1,own,little,moderate,4736,24,furniture/equipment,bad
25,female,2,own,NA,moderate,2991,30,radio/TV,good
28,male,2,own,rich,NA,2142,11,business,good
31,male,2,rent,little,little,3161,24,business,bad
32,female,3,own,little,moderate,18424,48,vacation/others,bad
32,male,2,own,moderate,NA,2848,10,car,good
68,male,3,own,little,little,14896,6,car,bad
33,male,2,own,moderate,little,2359,24,furniture/equipment,bad
39,male,3,rent,little,little,3345,24,furniture/equipment,bad
28,female,2,own,little,NA,1817,18,furniture/equipment,good
37,male,3,own,quite rich,NA,12749,48,radio/TV,good
22,female,2,rent,little,little,1366,9,radio/TV,bad
30,male,2,rent,little,moderate,2002,12,car,good
55,male,2,own,little,little,6872,24,furniture/equipment,bad
46,male,2,own,little,little,697,12,car,bad
21,female,2,rent,little,little,1049,18,furniture/equipment,good
39,male,2,free,little,little,10297,48,car,bad
58,male,2,own,NA,NA,1867,30,radio/TV,good
43,male,1,own,little,little,1344,12,car,good
24,male,1,own,little,little,1747,24,furniture/equipment,good
22,female,2,own,little,moderate,1670,9,radio/TV,bad
30,male,2,own,little,NA,1224,9,car,good
42,male,2,own,quite rich,NA,522,12,radio/TV,good
23,female,2,own,little,little,1498,12,radio/TV,good
30,male,3,own,moderate,moderate,1919,30,radio/TV,bad
28,female,1,own,little,rich,745,9,radio/TV,bad
30,male,3,rent,little,moderate,2063,6,radio/TV,good
42,male,2,free,little,moderate,6288,60,education,bad
46,male,3,own,NA,NA,6842,24,car,good
45,male,3,own,NA,NA,3527,12,car,good
31,male,1,own,little,NA,1546,10,car,good
31,male,2,own,NA,NA,929,24,furniture/equipment,good
42,male,1,own,little,NA,1455,4,car,good
46,female,2,rent,little,little,1845,15,furniture/equipment,good
30,female,2,own,quite rich,moderate,8358,48,car,good
30,male,2,free,quite rich,little,3349,24,furniture/equipment,bad
38,male,3,own,NA,NA,2859,12,car,good
43,male,1,own,little,NA,1533,18,furniture/equipment,bad
31,male,2,own,moderate,NA,3621,24,radio/TV,bad
40,male,0,own,little,moderate,3590,18,business,good
24,male,2,own,little,little,2145,36,business,bad
28,female,2,rent,quite rich,moderate,4113,24,car,bad
26,female,3,own,little,NA,10974,36,furniture/equipment,bad
29,female,2,own,little,little,1893,12,car,good
57,female,3,rent,rich,little,1231,24,radio/TV,good
49,male,1,own,NA,rich,3656,30,radio/TV,good
37,male,1,own,little,moderate,1154,9,radio/TV,good
45,male,1,own,little,little,4006,28,car,bad
30,male,2,free,moderate,moderate,3069,24,furniture/equipment,good
30,male,2,rent,little,NA,1740,6,radio/TV,good
47,male,2,own,little,moderate,2353,21,car,good
29,male,2,own,NA,NA,3556,15,car,good
35,male,2,own,quite rich,NA,2397,24,radio/TV,bad
22,male,1,own,little,moderate,454,6,repairs,good
26,female,2,own,NA,moderate,1715,30,radio/TV,good
23,male,1,own,quite rich,moderate,2520,27,radio/TV,bad
54,female,3,rent,little,NA,3568,15,radio/TV,good
29,male,2,rent,NA,NA,7166,42,radio/TV,good
40,male,1,own,little,little,3939,11,car,good
22,male,2,own,moderate,moderate,1514,15,repairs,good
43,male,1,own,little,NA,7393,24,car,good
29,female,0,rent,little,little,1193,24,car,bad
36,male,2,rent,little,little,7297,60,business,bad
33,female,2,own,little,NA,2831,30,radio/TV,good
57,female,1,own,quite rich,rich,1258,24,radio/TV,good
64,female,2,own,little,moderate,753,6,radio/TV,good
42,male,2,own,NA,moderate,2427,18,business,good
47,male,1,own,little,NA,2538,24,car,bad
25,male,2,rent,moderate,moderate,1264,15,car,bad
49,male,2,own,little,moderate,8386,30,furniture/equipment,bad
33,male,3,rent,little,NA,4844,48,business,bad
28,female,3,own,moderate,rich,2923,21,car,good
26,male,2,own,little,little,8229,36,car,bad
30,male,1,own,little,NA,2028,24,furniture/equipment,good
25,female,2,rent,little,little,1433,15,furniture/equipment,good
33,male,2,own,little,rich,6289,42,business,good
64,female,2,own,moderate,NA,1409,13,radio/TV,good
29,male,3,free,little,little,6579,24,car,good
48,male,1,own,little,moderate,1743,24,radio/TV,good
37,male,1,own,NA,NA,3565,12,education,good
34,male,1,own,moderate,NA,1569,15,radio/TV,good
23,male,1,rent,NA,little,1936,18,radio/TV,good
30,male,3,own,little,little,3959,36,furniture/equipment,good
50,male,2,own,NA,NA,2390,12,car,good
31,female,1,own,little,NA,1736,12,furniture/equipment,good
40,male,3,own,little,little,3857,30,car,good
38,male,2,own,little,NA,804,12,radio/TV,good
23,male,2,free,little,little,1845,45,radio/TV,bad
27,male,2,own,moderate,moderate,4576,45,car,good
