,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
49,35,male,2,free,NA,NA,8858,48,car,good
50,23,female,2,own,NA,NA,996,12,repairs,good
51,45,male,1,own,quite rich,NA,1750,6,radio/TV,good
52,34,male,2,own,little,little,6999,48,radio/TV,bad
53,27,male,2,own,moderate,moderate,1995,12,car,good
54,67,female,3,own,little,moderate,1199,9,education,good
55,22,male,2,own,little,moderate,1331,12,radio/TV,bad
56,28,female,2,own,moderate,moderate,2278,18,car,bad
57,29,female,2,own,NA,NA,5003,21,car,bad
58,27,male,2,own,little,little,3552,24,furniture/equipment,bad
59,31,male,1,own,little,moderate,1928,18,furniture/equipment,bad
60,49,male,2,free,NA,little,2964,24,car,good
61,24,male,1,rent,little,little,1546,24,radio/TV,bad
62,29,female,2,own,little,rich,683,6,radio/TV,good
63,37,male,2,free,NA,moderate,12389,36,car,bad
64,37,male,3,own,NA,moderate,4712,24,business,good
65,23,female,2,rent,moderate,moderate,1553,24,radio/TV,good
66,36,male,2,own,little,little,1372,12,car,bad
67,34,male,2,own,rich,NA,2578,24,radio/TV,good
68,41,male,2,own,NA,moderate,3979,48,radio/TV,good
69,31,female,2,own,little,little,6758,48,radio/TV,bad
70,23,female,1,rent,little,little,3234,24,furniture/equipment,bad
71,38,male,2,own,little,NA,5954,30,radio/TV,good
72,26,female,3,rent,NA,NA,5433,24,car,good
73,22,female,1,own,little,little,806,15,business,good
74,27,male,1,own,little,moderate,1082,9,radio/TV,good
75,24,female,2,own,little,NA,2788,15,furniture/equipment,good
76,27,female,2,own,little,moderate,2930,12,radio/TV,good
77,33,female,2,own,NA,NA,1927,24,education,good
78,27,male,2,own,little,moderate,2820,36,car,bad
79,27,male,1,own,little,NA,937,24,education,good
80,30,male,2,own,little,moderate,1056,18,car,bad
81,49,male,1,own,little,moderate,3124,12,car,good
82,26,female,2,rent,little,NA,1388,9,furniture/equipment,good
83,33,male,1,rent,little,moderate,2384,36,repairs,bad
84,52,female,3,free,NA,NA,2133,12,car,good
85,20,female,2,rent,little,little,2039,18,furniture/equipment,bad
86,36,male,2,rent,little,little,2799,9,car,good
87,21,male,1,own,little,little,1289,12,furniture/equipment,good
88,47,male,1,own,little,little,1217,18,domestic appliances,bad
89,60,male,2,own,little,little,2246,12,furniture/equipment,bad
90,58,female,1,own,little,little,385,12,radio/TV,good
91,42,female,2,rent,NA,moderate,1965,24,car,good
92,36,female,1,own,rich,NA,1572,21,business,good
93,20,female,1,rent,little,moderate,2718,24,car,bad
94,40,male,3,own,NA,little,1358,24,vacation/others,bad
95,32,female,1,own,moderate,moderate,931,6,car,bad
96,23,female,2,rent,little,little,1442,24,car,bad
97,36,male,1,own,little,moderate,4241,24,business,bad
98,31,male,2,own,little,NA,2775,18,car,bad
99,32,male,2,free,little,NA,3863,24,business,good
100,45,female,2,own,little,moderate,2329,7,radio/TV,good
101,30,female,2,own,little,moderate,918,9,furniture/equipment,bad
102,34,female,1,free,little,moderate,1837,24,education,bad
103,28,female,3,own,little,NA,3349,36,furniture/equipment,bad
104,23,female,2,own,little,rich,1275,10,furniture/equipment,good
105,22,male,2,own,quite rich,little,2828,24,furniture/equipment,good
106,74,male,3,own,little,NA,4526,24,business,good
107,50,female,2,free,moderate,moderate,2671,36,radio/TV,bad
108,33,male,2,own,little,NA,2051,18,radio/TV,good
109,45,male,2,free,NA,NA,1300,15,car,good
110,22,female,2,own,moderate,little,741,12,domestic appliances,bad
111,48,female,1,free,moderate,rich,1240,10,car,bad
112,29,female,2,own,rich,little,3357,21,radio/TV,good
113,22,female,2,rent,little,little,3632,24,car,good
114,22,female,2,own,little,NA,1808,18,furniture/equipment,bad
115,48,male,3,own,NA,moderate,12204,48,business,good
116,27,male,3,free,NA,moderate,9157,60,radio/TV,good
117,37,male,2,rent,little,little,3676,6,car,good
118,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,bad
119,49,male,1,own,little,NA,640,12,car,good
120,27,male,2,own,little,moderate,3652,21,business,good
121,32,male,2,own,little,NA,1530,18,car,bad
122,38,male,2,own,NA,NA,3914,48,business,bad
123,22,female,2,rent,little,little,1858,12,furniture/equipment,good
124,65,male,2,free,little,little,2600,18,radio/TV,bad
125,35,male,2,own,NA,NA,1979,15,radio/TV,good
126,41,male,2,own,little,rich,2116,6,furniture/equipment,good
127,29,male,2,own,moderate,moderate,1437,9,car,bad
128,36,male,2,own,quite rich,NA,4042,42,furniture/equipment,good
129,64,male,1,own,NA,NA,3832,9,education,good
130,28,female,2,own,little,little,3660,24,radio/TV,good
131,44,male,2,own,little,little,1553,18,furniture/equipment,bad
132,23,male,2,own,NA,moderate,1444,15,radio/TV,good
133,19,female,2,rent,little,NA,1980,9,furniture/equipment,bad
134,25,female,1,own,little,moderate,1355,24,car,bad
135,47,male,2,own,little,NA,1393,12,education,good
136,28,female,2,own,quite rich,NA,1376,24,radio/TV,good
137,21,male,2,own,little,NA,15653,60,radio/TV,good
138,34,female,2,own,little,NA,1493,12,radio/TV,good
139,26,male,2,own,little,little,4370,42,radio/TV,bad
140,27,female,0,own,little,little,750,18,education,bad
141,38,male,1,own,little,moderate,1308,15,repairs,good
142,40,male,3,own,moderate,NA,4623,15,education,bad
143,33,male,2,own,little,NA,1851,24,radio/TV,good
144,32,male,3,own,little,little,1880,18,radio/TV,good
145,27,male,2,rent,NA,NA,7980,36,business,bad
146,32,male,2,own,little,little,4583,30,furniture/equipment,good
147,26,female,2,own,quite rich,NA,1386,12,car,bad
148,38,male,2,free,little,rich,947,24,car,bad
149,40,male,1,rent,little,little,684,12,education,bad
150,50,male,3,free,little,little,7476,48,education,good
151,37,male,1,own,little,moderate,1922,12,furniture/equipment,bad
152,45,male,2,own,little,little,2303,24,car,bad
153,42,male,3,own,moderate,moderate,8086,36,car,bad
154,35,male,2,own,little,NA,2346,24,car,good
155,22,male,2,free,little,little,3973,14,car,good
156,41,male,1,own,little,moderate,888,12,car,bad
157,37,male,2,own,NA,NA,10222,48,radio/TV,good
158,28,female,2,own,little,moderate,4221,30,business,good
159,41,male,2,own,little,moderate,6361,18,furniture/equipment,good
160,23,male,2,rent,little,rich,1297,12,radio/TV,good
161,23,male,2,own,NA,little,900,12,car,bad
162,50,male,2,own,little,NA,2241,21,furniture/equipment,good
163,35,male,3,own,little,moderate,1050,6,furniture/equipment,good
164,50,female,1,own,little,rich,1047,6,education,good
165,27,male,3,own,little,NA,6314,24,vacation/others,good
166,34,male,2,own,rich,moderate,3496,30,furniture/equipment,good
167,27,female,2,own,little,NA,3609,48,business,good
168,43,male,2,rent,little,little,4843,12,car,bad
169,47,male,2,own,little,rich,3017,30,radio/TV,good
170,27,male,1,own,moderate,NA,4139,24,business,good
171,31,male,2,own,moderate,NA,5742,36,business,good
172,42,male,3,own,little,NA,10366,60,car,good
173,24,male,2,own,quite rich,NA,2080,6,car,good
174,41,male,1,own,quite rich,NA,2580,21,business,bad
175,26,female,3,rent,little,NA,4530,30,radio/TV,good
176,33,male,2,own,little,NA,5150,24,furniture/equipment,good
177,24,male,2,own,moderate,moderate,5595,72,radio/TV,bad
178,64,male,1,rent,little,little,2384,24,radio/TV,good
179,26,female,2,own,little,NA,1453,18,radio/TV,good
180,56,female,2,own,little,NA,1538,6,education,good
181,37,male,2,free,NA,NA,2279,12,radio/TV,good
182,33,male,2,own,little,NA,1478,15,radio/TV,good
183,47,male,2,free,little,NA,5103,24,radio/TV,good
184,31,male,1,own,moderate,moderate,9857,36,business,good
185,34,male,2,free,NA,NA,6527,60,car,good
186,27,male,2,own,NA,rich,1347,10,radio/TV,good
187,30,male,2,free,moderate,moderate,2862,36,car,good
188,35,male,2,own,moderate,NA,2753,9,radio/TV,good
189,31,male,2,own,rich,little,3651,12,car,good
190,25,male,2,own,little,little,975,15,furniture/equipment,good
191,25,female,1,own,moderate,moderate,2631,15,repairs,good
192,29,male,2,own,moderate,moderate,2896,24,radio/TV,good
193,44,male,1,own,NA,little,4716,6,car,good
194,28,male,2,own,little,NA,2284,24,radio/TV,good
195,50,male,2,rent,quite rich,NA,1236,6,car,good
196,29,male,2,own,little,moderate,1103,12,radio/TV,good
197,38,female,0,own,little,NA,926,12,car,good
198,24,male,2,own,little,NA,1800,18,radio/TV,good
199,40,male,3,rent,little,rich,1905,15,education,good
200,29,female,1,rent,quite rich,NA,1123,12,furniture/equipment,bad
201,46,male,2,free,little,little,6331,48,car,bad
202,47,female,2,free,moderate,rich,1377,24,radio/TV,good
203,41,male,2,own,moderate,moderate,2503,30,business,good
204,32,female,2,own,little,moderate,2528,27,business,good
205,35,female,2,free,quite rich,NA,5324,15,car,good
206,24,male,2,own,moderate,moderate,6560,48,car,bad
207,25,female,2,rent,little,moderate,2969,12,furniture/equipment,bad
208,25,female,2,own,little,moderate,1206,9,radio/TV,good
209,37,male,1,own,little,moderate,2118,9,radio/TV,good
210,32,male,3,own,quite rich,NA,629,18,radio/TV,good
211,35,female,2,free,little,little,1198,6,education,bad
212,46,male,3,own,NA,NA,2476,21,car,good
213,25,male,1,own,little,little,1138,9,radio/TV,good
214,27,male,3,own,little,moderate,14027,60,car,bad
215,63,male,2,own,NA,NA,7596,30,car,good
216,40,male,2,own,NA,NA,3077,30,radio/TV,good
217,32,male,3,free,little,NA,1505,18,radio/TV,good
218,31,male,2,own,NA,rich,3148,24,radio/TV,good
219,31,male,2,own,moderate,moderate,6148,20,car,good
220,34,male,3,own,little,rich,1337,9,radio/TV,bad
221,24,female,2,rent,rich,moderate,433,6,education,bad
222,24,female,1,own,little,little,1228,12,car,bad
223,66,female,1,own,quite rich,moderate,790,9,radio/TV,good
224,21,female,2,rent,little,NA,2570,27,car,bad
225,41,female,1,own,rich,NA,250,6,car,good
226,47,male,1,own,quite rich,NA,1316,15,radio/TV,good
227,25,female,2,rent,little,little,1882,18,radio/TV,bad
228,59,female,2,rent,little,moderate,6416,48,business,bad
229,36,male,2,own,rich,rich,1275,24,business,good
230,33,male,2,own,little,moderate,6403,24,radio/TV,good
231,21,male,1,rent,little,little,1987,24,radio/TV,bad
232,44,female,1,own,little,moderate,760,8,radio/TV,good
233,28,female,2,rent,rich,NA,2603,24,car,good
234,37,female,2,own,little,NA,3380,4,car,good
235,29,female,0,own,NA,moderate,3990,36,domestic appliances,good
236,23,female,3,rent,little,moderate,11560,24,car,bad
237,35,male,1,own,moderate,little,4380,18,car,good
238,45,male,3,own,little,NA,6761,6,car,good
239,26,female,1,rent,moderate,moderate,4280,30,business,bad
240,32,male,2,own,moderate,little,2325,24,car,good
241,23,male,1,own,little,moderate,1048,10,radio/TV,good
242,41,male,2,own,NA,NA,3160,21,radio/TV,good
243,22,male,2,own,quite rich,little,2483,24,furniture/equipment,good
244,30,male,3,own,NA,little,14179,39,furniture/equipment,good
245,28,male,1,own,little,little,1797,13,business,good
246,23,female,2,rent,little,little,2511,15,car,good
247,37,female,1,own,little,little,1274,12,car,bad
248,26,male,2,own,NA,NA,5248,21,car,good
249,33,male,2,own,little,NA,3029,15,car,good
250,49,female,2,own,little,little,428,6,furniture/equipment,good
251,23,female,1,own,little,little,976,18,car,bad
252,23,female,1,rent,moderate,moderate,841,12,business,good
253,25,female,2,own,little,NA,5771,30,radio/TV,good
254,55,male,2,free,rich,NA,1555,12,repairs,bad
255,32,female,2,rent,NA,little,1285,24,car,bad
256,74,male,0,own,little,rich,1299,6,car,good
257,39,male,2,free,NA,rich,1271,15,radio/TV,bad
258,31,male,2,own,little,NA,1393,24,car,good
259,35,male,2,own,little,little,691,12,car,bad
260,59,female,2,own,NA,NA,5045,15,car,good
261,24,female,2,rent,little,little,2124,18,furniture/equipment,bad
262,24,male,1,own,little,little,2214,12,radio/TV,good
263,30,male,3,free,NA,NA,12680,21,car,bad
264,27,male,2,own,moderate,NA,2463,24,car,good
265,40,male,1,own,little,moderate,1155,12,radio/TV,good
266,31,male,1,own,little,little,3108,30,furniture/equipment,bad
267,31,female,2,rent,NA,NA,2901,10,car,good
268,28,male,2,rent,little,moderate,3617,12,furniture/equipment,good
269,63,male,1,own,little,NA,1655,12,radio/TV,good
270,26,female,2,rent,NA,little,2812,24,car,good
271,25,female,3,own,little,little,8065,36,education,bad
272,36,male,3,own,little,NA,3275,21,car,good
273,52,male,2,own,moderate,NA,2223,24,radio/TV,good
274,66,male,0,free,quite rich,rich,1480,12,car,good
275,25,female,2,rent,NA,little,1371,24,car,bad
276,37,male,2,own,little,NA,3535,36,car,good
277,25,female,2,own,little,little,3509,18,radio/TV,good
278,38,male,3,own,rich,NA,5711,36,car,good
279,67,female,2,own,little,moderate,3872,18,repairs,good
280,25,male,2,own,little,moderate,4933,39,radio/TV,bad
281,60,male,2,own,rich,NA,1940,24,car,good
282,31,male,1,own,little,moderate,1410,12,education,good
283,23,female,1,own,moderate,moderate,836,12,car,bad
284,60,male,3,own,NA,moderate,6468,20,car,good
285,35,male,1,own,rich,moderate,1941,18,business,good
286,40,male,2,own,quite rich,NA,2675,22,radio/TV,good
287,38,male,2,own,NA,NA,2751,48,car,good
288,50,male,2,free,little,moderate,6224,48,education,bad
289,27,male,2,own,little,little,5998,40,education,bad
290,39,female,2,own,little,moderate,1188,21,business,bad
291,41,male,3,own,NA,NA,6313,24,car,good
292,27,male,2,own,NA,NA,1221,6,furniture/equipment,good
293,51,male,2,free,little,rich,2892,24,furniture/equipment,good
294,32,male,2,rent,quite rich,NA,3062,24,furniture/equipment,good
295,22,female,2,rent,moderate,NA,2301,9,furniture/equipment,good
296,51,male,2,free,NA,little,7511,18,car,bad
297,22,female,1,rent,little,NA,1258,12,furniture/equipment,good
298,54,male,2,own,NA,NA,717,24,car,good
299,35,male,0,own,NA,moderate,1549,9,car,good
300,54,male,2,free,little,NA,1597,24,education,good
301,48,female,1,rent,little,moderate,1795,18,radio/TV,good
302,24,female,2,own,little,little,4272,20,furniture/equipment,good
303,35,male,2,own,NA,NA,976,12,radio/TV,good
304,24,female,0,rent,NA,moderate,7472,12,car,good
305,24,male,2,own,little,little,9271,36,car,bad
306,26,male,1,own,little,moderate,590,6,radio/TV,good
307,65,male,2,own,NA,NA,930,12,radio/TV,good
308,55,male,3,free,little,moderate,9283,42,car,good
309,26,female,0,rent,little,moderate,1778,15,car,bad
310,26,male,2,own,little,moderate,907,8,business,good
311,28,male,1,own,little,moderate,484,6,radio/TV,good
312,24,male,2,own,little,little,9629,36,car,bad
313,54,male,2,own,little,little,3051,48,domestic appliances,bad
314,46,male,2,free,little,little,3931,48,car,bad
315,54,female,2,rent,little,moderate,7432,36,car,good
316,62,male,2,own,quite rich,NA,1338,6,domestic appliances,good
317,24,female,2,rent,little,NA,1554,6,radio/TV,good
318,43,male,3,own,little,little,15857,36,vacation/others,good
319,26,male,2,own,little,little,1345,18,radio/TV,bad
320,27,male,2,own,little,NA,1101,12,car,good
321,24,male,2,own,little,rich,3016,12,radio/TV,good
322,41,male,2,own,little,little,2712,36,furniture/equipment,bad
323,47,male,1,own,little,little,731,8,car,good
324,35,male,3,own,little,NA,3780,18,furniture/equipment,good
325,30,male,2,own,little,little,1602,21,car,good
326,33,female,2,rent,little,little,3966,18,car,bad
327,36,male,2,own,little,NA,4165,18,business,bad
328,47,male,2,free,NA,little,8335,36,car,bad
329,38,male,2,free,NA,moderate,6681,48,business,good
330,44,male,2,own,quite rich,NA,2375,24,business,good
331,23,female,2,rent,little,little,1216,18,car,bad
332,29,male,2,rent,little,little,11816,45,business,bad
333,42,female,2,own,NA,moderate,5084,24,radio/TV,good
334,25,female,1,own,little,rich,2327,15,radio/TV,bad
335,48,male,2,own,little,little,1082,12,car,bad
336,21,female,2,own,NA,NA,886,12,radio/TV,good
337,23,female,1,rent,little,NA,601,4,furniture/equipment,good
338,63,male,2,own,little,little,2957,24,car,good
339,46,male,2,own,little,NA,2611,24,radio/TV,good
340,29,male,2,own,little,little,5179,36,furniture/equipment,bad
341,28,male,1,own,little,NA,2993,21,car,good
342,23,female,2,own,little,NA,1943,18,repairs,bad
343,50,male,2,own,little,NA,1559,24,business,good
344,47,male,2,own,little,NA,3422,18,furniture/equipment,good
345,35,male,2,own,NA,moderate,3976,21,furniture/equipment,good
346,68,male,2,rent,NA,NA,6761,18,car,bad
347,28,male,2,own,little,NA,1249,24,car,good
348,59,male,2,own,little,little,1364,9,radio/TV,good
349,57,male,1,own,little,little,709,12,radio/TV,bad
350,33,male,2,rent,little,little,2235,20,car,bad
351,43,male,2,own,NA,NA,4042,24,car,good
352,35,male,2,free,little,NA,1471,15,radio/TV,good
353,32,male,1,free,little,little,1442,18,car,bad
354,45,male,2,own,little,NA,10875,36,car,good
355,33,male,2,own,moderate,NA,1474,24,car,good
356,40,female,2,own,NA,NA,894,10,education,good
357,28,male,2,free,little,NA,3343,15,furniture/equipment,good
358,29,female,2,own,little,little,3959,15,car,bad
359,26,male,2,rent,moderate,NA,3577,9,car,good
360,27,male,2,own,rich,NA,5804,24,car,good
361,28,male,2,own,little,NA,2169,18,business,bad
362,35,female,2,own,little,little,2439,24,radio/TV,bad
363,32,male,1,own,rich,NA,4526,27,furniture/equipment,good
364,25,male,1,rent,little,NA,2210,10,furniture/equipment,bad
365,20,female,2,rent,quite rich,NA,2221,15,furniture/equipment,good
366,27,female,2,own,little,little,2389,18,radio/TV,good
367,42,male,2,own,little,NA,3331,12,furniture/equipment,good
368,37,male,2,own,NA,NA,7409,36,business,good
369,24,female,2,rent,little,little,652,12,furniture/equipment,good
370,40,female,2,own,quite rich,NA,7678,36,furniture/equipment,good
371,46,male,2,own,little,rich,1343,6,car,good
372,26,male,2,own,moderate,little,1382,24,business,good
373,24,female,2,own,NA,NA,874,15,domestic appliances,good
374,29,male,1,own,little,little,3590,12,furniture/equipment,good
375,40,female,2,own,rich,moderate,1322,11,car,good
376,36,male,3,free,little,little,1940,18,radio/TV,good
377,28,male,2,own,little,NA,3595,36,radio/TV,good
378,27,male,3,free,little,little,1422,9,car,bad
379,36,male,2,own,NA,NA,6742,30,radio/TV,good
380,38,male,3,own,little,NA,7814,24,car,good
381,48,male,2,free,NA,NA,9277,24,car,good
382,36,male,2,own,NA,moderate,2181,30,car,good
383,65,female,0,own,little,NA,1098,18,radio/TV,good
384,43,male,2,own,little,moderate,4057,24,furniture/equipment,bad
385,53,female,2,own,little,little,795,12,education,bad
386,34,male,2,own,NA,moderate,2825,24,business,good
387,23,male,2,own,little,moderate,15672,48,business,bad
388,34,male,3,own,little,NA,6614,36,car,good
389,40,male,2,rent,NA,NA,7824,28,car,good
390,43,male,3,own,little,little,2442,27,business,good
391,46,male,2,own,little,NA,1829,15,radio/TV,good
392,38,male,1,own,little,little,2171,12,car,good
393,34,male,2,own,little,moderate,5800,36,car,good
394,29,male,2,own,NA,NA,1169,18,radio/TV,good
395,31,male,3,own,NA,NA,8947,36,car,good
396,28,female,3,rent,little,little,2606,21,radio/TV,good
397,35,female,2,own,rich,NA,1592,12,furniture/equipment,good
398,33,female,1,rent,NA,NA,2186,15,furniture/equipment,good
399,42,male,2,own,little,little,4153,18,furniture/equipment,bad
400,43,male,2,rent,little,little,2625,16,car,bad
401,44,male,2,own,NA,NA,3485,20,car,good
402,42,male,2,free,NA,NA,10477,36,car,good
403,40,male,2,rent,NA,NA,1386,15,radio/TV,good
404,36,male,3,own,little,NA,1278,24,radio/TV,good
405,20,male,3,rent,little,little,1107,12,radio/TV,good
406,24,male,1,own,NA,little,3763,21,car,good
407,27,male,2,own,NA,moderate,3711,36,education,good
408,46,female,1,own,little,NA,3594,15,car,good
409,33,female,1,own,NA,moderate,3195,9,car,good
410,34,female,2,own,little,NA,4454,36,radio/TV,good
411,25,female,1,own,little,moderate,4736,24,furniture/equipment,bad
412,25,female,2,own,NA,moderate,2991,30,radio/TV,good
413,28,male,2,own,rich,NA,2142,11,business,good
414,31,male,2,rent,little,little,3161,24,business,bad
415,32,female,3,own,little,moderate,18424,48,vacation/others,bad
416,32,male,2,own,moderate,NA,2848,10,car,good
417,68,male,3,own,little,little,14896,6,car,bad
418,33,male,2,own,moderate,little,2359,24,furniture/equipment,bad
419,39,male,3,rent,little,little,3345,24,furniture/equipment,bad
420,28,female,2,own,little,NA,1817,18,furniture/equipment,good
421,37,male,3,own,quite rich,NA,12749,48,radio/TV,good
422,22,female,2,rent,little,little,1366,9,radio/TV,bad
423,30,male,2,rent,little,moderate,2002,12,car,good
424,55,male,2,own,little,little,6872,24,furniture/equipment,bad
425,46,male,2,own,little,little,697,12,car,bad
426,21,female,2,rent,little,little,1049,18,furniture/equipment,good
427,39,male,2,free,little,little,10297,48,car,bad
428,58,male,2,own,NA,NA,1867,30,radio/TV,good
429,43,male,1,own,little,little,1344,12,car,good
430,24,male,1,own,little,little,1747,24,furniture/equipment,good
431,22,female,2,own,little,moderate,1670,9,radio/TV,bad
432,30,male,2,own,little,NA,1224,9,car,good
433,42,male,2,own,quite rich,NA,522,12,radio/TV,good
434,23,female,2,own,little,little,1498,12,radio/TV,good
435,30,male,3,own,moderate,moderate,1919,30,radio/TV,bad
436,28,female,1,own,little,rich,745,9,radio/TV,bad
437,30,male,3,rent,little,moderate,2063,6,radio/TV,good
438,42,male,2,free,little,moderate,6288,60,education,bad
439,46,male,3,own,NA,NA,6842,24,car,good
440,45,male,3,own,NA,NA,3527,12,car,good
441,31,male,1,own,little,NA,1546,10,car,good
442,31,male,2,own,NA,NA,929,24,furniture/equipment,good
443,42,male,1,own,little,NA,1455,4,car,good
444,46,female,2,rent,little,little,1845,15,furniture/equipment,good
445,30,female,2,own,quite rich,moderate,8358,48,car,good
446,30,male,2,free,quite rich,little,3349,24,furniture/equipment,bad
447,38,male,3,own,NA,NA,2859,12,car,good
448,43,male,1,own,little,NA,1533,18,furniture/equipment,bad
449,31,male,2,own,moderate,NA,3621,24,radio/TV,bad
450,40,male,0,own,little,moderate,3590,18,business,good
451,24,male,2,own,little,little,2145,36,business,bad
452,28,female,2,rent,quite rich,moderate,4113,24,car,bad
453,26,female,3,own,little,NA,10974,36,furniture/equipment,bad
454,29,female,2,own,little,little,1893,12,car,good
455,57,female,3,rent,rich,little,1231,24,radio/TV,good
456,49,male,1,own,NA,rich,3656,30,radio/TV,good
457,37,male,1,own,little,moderate,1154,9,radio/TV,good
458,45,male,1,own,little,little,4006,28,car,bad
459,30,male,2,free,moderate,moderate,3069,24,furniture/equipment,good
460,30,male,2,rent,little,NA,1740,6,radio/TV,good
461,47,male,2,own,little,moderate,2353,21,car,good
462,29,male,2,own,NA,NA,3556,15,car,good
463,35,male,2,own,quite rich,NA,2397,24,radio/TV,bad
464,22,male,1,own,little,moderate,454,6,repairs,good
465,26,female,2,own,NA,moderate,1715,30,radio/TV,good
466,23,male,1,own,quite rich,moderate,2520,27,radio/TV,bad
467,54,female,3,rent,little,NA,3568,15,radio/TV,good
468,29,male,2,rent,NA,NA,7166,42,radio/TV,good
469,40,male,1,own,little,little,3939,11,car,good
470,22,male,2,own,moderate,moderate,1514,15,repairs,good
471,43,male,1,own,little,NA,7393,24,car,good
472,29,female,0,rent,little,little,1193,24,car,bad
473,36,male,2,rent,little,little,7297,60,business,bad
474,33,female,2,own,little,NA,2831,30,radio/TV,good
475,57,female,1,own,quite rich,rich,1258,24,radio/TV,good
476,64,female,2,own,little,moderate,753,6,radio/TV,good
477,42,male,2,own,NA,moderate,2427,18,business,good
478,47,male,1,own,little,NA,2538,24,car,bad
479,25,male,2,rent,moderate,moderate,1264,15,car,bad
480,49,male,2,own,little,moderate,8386,30,furniture/equipment,bad
481,33,male,3,rent,little,NA,4844,48,business,bad
482,28,female,3,own,moderate,rich,2923,21,car,good
483,26,male,2,own,little,little,8229,36,car,bad
484,30,male,1,own,little,NA,2028,24,furniture/equipment,good
485,25,female,2,rent,little,little,1433,15,furniture/equipment,good
486,33,male,2,own,little,rich,6289,42,business,good
487,64,female,2,own,moderate,NA,1409,13,radio/TV,good
488,29,male,3,free,little,little,6579,24,car,good
489,48,male,1,own,little,moderate,1743,24,radio/TV,good
490,37,male,1,own,NA,NA,3565,12,education,good
491,34,male,1,own,moderate,NA,1569,15,radio/TV,good
492,23,male,1,rent,NA,little,1936,18,radio/TV,good
493,30,male,3,own,little,little,3959,36,furniture/equipment,good
494,50,male,2,own,NA,NA,2390,12,car,good
495,31,female,1,own,little,NA,1736,12,furniture/equipment,good
496,40,male,3,own,little,little,3857,30,car,good
497,38,male,2,own,little,NA,804,12,radio/TV,good
498,23,male,2,free,little,little,1845,45,radio/TV,bad
499,27,male,2,own,moderate,moderate,4576,45,car,good
